Date,Actual_Return(%),GARCH_Mu,GARCH_Vol,GJR_GARCH_Vol,VaR_95,GJR_VaR_95,Risk_Label
2009-04-17,-0.23319190846483007,0.05303105492721201,1.4320450892720082,1.426891243765,-2.233271898287146,-2.2460725288080083,lowrisk
2009-04-20,0.5645629213590287,0.05303105492721201,1.3783270756691437,1.3790952274218549,-2.147509477773227,-2.1695817912498194,lowrisk
2009-04-21,-0.19752305744975102,0.05303105492721201,1.3322797129728894,1.3124540310805737,-2.0739934815878707,-2.0629320189485405,lowrisk
2009-04-22,1.4089545806384702,0.05303105492721201,1.28320084692257,1.273734134960306,-1.9956375993381719,-2.000966323080657,lowrisk
2009-04-23,0.9927653434507265,0.05303105492721201,1.287644252971117,1.2108386645040086,-2.0027316304180784,-1.900311053199333,lowrisk
2009-04-24,-1.1476955179681718,0.05303105492721201,1.264615881513194,1.220498408825348,-1.965966144424386,-1.91577010238992,highrisk
2009-04-27,-1.1552141082062761,0.05303105492721201,1.259386950691641,1.2336189583976769,-1.9576179994748806,-1.9367676789818893,highrisk
2009-04-28,-2.8820094316060816,0.05303105492721201,1.2551165671037456,1.255935106099361,-1.9508002039449042,-1.972481504688707,highrisk
2009-04-29,2.8529556265834217,0.05303105492721201,1.443516412082928,1.6037962187510917,-2.251586209349246,-2.529183822377974,lowrisk
2009-04-30,2.2524499437959635,0.05303105492721201,1.5785464020310673,1.4511717036209923,-2.4671656398460025,-2.28492995720336,lowrisk
2009-05-04,2.0749162486977863,0.05303105492721201,1.6269385820830238,1.6166512655885295,-2.5444252072954554,-2.5497564995417203,lowrisk
2009-05-06,-0.48534032593479753,0.05303105492721201,1.6535638750748183,1.4894735682133002,-2.586933286442798,-2.3462266529674136,lowrisk
2009-05-07,0.5131638526167968,0.05303105492721201,1.5933953390082165,1.5668060862425224,-2.4908724132690434,-2.4699863675599345,lowrisk
2009-05-08,0.720657144833822,0.05303105492721201,1.5345616869469403,1.4000474534281893,-2.3969427224626862,-2.203112853947689,lowrisk
2009-05-11,0.17109351446227644,0.05303105492721201,1.484522799342812,1.4184622955751192,-2.3170541369971,-2.2325831940639795,lowrisk
2009-05-12,-0.8973198392519234,0.05303105492721201,1.426394844243305,1.3118106058353167,-2.2242511125644864,-2.0619023082040315,lowrisk
2009-05-13,0.7814508584909159,0.05303105492721201,1.3944619900246678,1.3366794200635597,-2.1732693526663063,-2.1017013142312084,lowrisk
2009-05-15,-1.8610869333504365,0.05303105492721201,1.3547308112827616,1.2449945690830453,-2.1098373336797493,-1.9549727286507084,highrisk
2009-05-18,-0.3041789922848996,0.05303105492721201,1.4008988538558664,1.4190727504591814,-2.18354599890947,-2.233560140426887,lowrisk
2009-05-19,3.055623631741458,0.05303105492721201,1.3500124862810055,1.295091926465074,-2.1023043862421624,-2.035146435772162,lowrisk
2009-05-20,0.567443988691245,0.05303105492721201,1.5292167299749249,1.2912456747868417,-2.388409338282629,-2.0289910560938598,lowrisk
2009-05-21,-1.083099954876269,0.05303105492721201,1.475038592347157,1.4252785670851427,-2.301912315957034,-2.2434916687672977,highrisk
2009-05-22,-1.5575587460764995,0.05303105492721201,1.4496415321363583,1.3020059753567366,-2.2613651472974006,-2.0462113892912956,highrisk
2009-05-25,-0.2460917290761094,0.05303105492721201,1.458779614821757,1.449312845910101,-2.2759543704907603,-2.281955119377944,lowrisk
2009-05-26,-2.150987400052436,0.05303105492721201,1.4038855048934453,1.3090711610041645,-2.1883142769047588,-2.0575182157279888,highrisk
2009-05-27,-0.5853363779559736,0.05303105492721201,1.4740402618946729,1.541615795386552,-2.3003184514349617,-2.429672883836833,lowrisk
2009-05-28,2.5232925995562487,0.05303105492721201,1.4264621652587417,1.4021943957751013,-2.2243585925855833,-2.2065487303276616,lowrisk
2009-05-29,0.2857994647370477,0.05303105492721201,1.5235740494358714,1.4048168977106619,-2.3794006294946666,-2.210745672304136,lowrisk
2009-06-01,1.223595357369323,0.05303105492721201,1.4645028845817285,1.444516048246366,-2.28509174238798,-2.274278525818717,lowrisk
2009-06-02,-0.23797929242984356,0.05303105492721201,1.4418521155863573,1.310631557699624,-2.248929110055628,-2.0600154090769522,lowrisk
2009-06-03,-0.08869874890014919,0.05303105492721201,1.387702562569392,1.3474367250811514,-2.162477723918854,-2.1189168534725242,lowrisk
2009-06-04,-2.5615047557453385,0.05303105492721201,1.3345966538690326,1.2264630364437594,-2.0776925472478553,-1.925315641970389,highrisk
2009-06-05,1.1428073277463675,0.05303105492721201,1.4638417124528327,1.5541620295450638,-2.284036161245876,-2.4497513501565464,lowrisk
2009-06-08,-0.05627172263540196,0.05303105492721201,1.4366429683956896,1.38351537721528,-2.2406125502664342,-2.1766556133731827,lowrisk
2009-06-09,-1.5656309885805508,0.05303105492721201,1.3808546232487937,1.4294626440231581,-2.1515447833226364,-2.250187689805773,highrisk
2009-06-10,3.372811341980484,0.05303105492721201,1.3971977149127002,1.4198925020384048,-2.1776370195348616,-2.234872036432176,lowrisk
2009-06-11,0.2870173736795756,0.05303105492721201,1.613105761916633,1.3823726217142294,-2.5223406948491474,-2.1748267954546248,lowrisk
2009-06-12,0.692087669945487,0.05303105492721201,1.549584926688475,1.5576357118497457,-2.420927775478984,-2.4553104854539396,lowrisk
